ID,Category,Language,Genre,Genre2,Pubdate,Author_Last,Author_First,Author_First_Reviewed,Author_Last_Reviewed,Work_Title,Translation,PubHouse,Prize,WinnerShortlist,Author_Gender,Author_Nationality,token_count,total_characters,protagonist_concentration,avg_sentence_length,avg_word_length,tuldava_score,event_count,speed_avg,circuitousness,speed_min,volume,goodreads_avg,total_ratings,goodreads_URL,Probability1P
"2016_Colfer,Chris_AnAuthorsOdyssey_MG.txt",FIC,English,MID,,2016,Colfer,Chris,Chris,Colfer,AnAuthorsOdyssey,,,,,M,,121423,88,0.121984838,14.33227101,4.321908166,3.52329642,7526,-2.2315,0.13943,-2.371,-2.8577,4.46,30997,https://www.goodreads.com/search?q=Chris+Colfer+An+Authors+Odyssey,0
"2016_Collins,Phil_NotDeadYet_ME.txt",NON,English,MEM,,2016,Collins,Phil,Phil,Collins,NotDeadYet,,,,,M,,152133,122,0.1049358725,18.3160366,4.132644686,3.784352956,3064,-2.3776,0.16022,-2.5378,-3.0465,4.05,6262,https://www.goodreads.com/search?q=Phil+Collins+Not+Dead+Yet,1
"2016_Condie,Ally_Summerlost_CT.txt",FIC,English,NYT,,2016,Condie,Ally,Ally,Condie,Summerlost,,Dutton,,,F,,57450,24,0.3395445135,11.51995187,3.82787644,2.78780684,2988,-2.307,0.21169,-2.5187,-2.9306,3.87,6959,https://www.goodreads.com/search?q=Ally+Condie+Summerlost,1
"2016_Connelly,Michael_TheWrongSideOfGoodbye_BS.txt",FIC,English,BS,,2016,Connelly,Michael,Michael,Connelly,TheWrongSideofGoodbye,,,,,M,,129663,55,0.3555170708,14.21743421,4.17353927,3.493359526,6842,-2.1594,0.28954,-2.449,-2.9706,4.33,64630,https://www.goodreads.com/search?q=+The+Wrong+Sideof+Goodbye,0
"2016_Connor,Leslie_AllRisefortheHonorablePerryTCook_MG.txt",FIC,English,MID,,2016,Connor,Leslie,Leslie,Connor,AllRisefortheHonorablePerryTCook,,,,,F,,103672,38,0.2710349963,10.56260825,3.825252694,2.647667979,6301,-2.4078,0.14933,-2.5572,-3.0286,4.31,6589,https://www.goodreads.com/search?q=+All+Riseforthe+Honorable+Perry+T+Cook,1
"2016_Corbett,Marie_JanuaryAWomanJudgesSeasonofDisilllusion_ME.txt",NON,English,MEM,,2016,Corbett,Marie,Marie,Corbett,January:AWomanJudge'sSeasonofDisillusion,,,,,F,,96119,55,0.3814910026,15.59866926,4.238363223,3.641312846,4608,-2.142,0.27256,-2.4145,-2.8884,3.52,21,https://www.goodreads.com/search?q=+January:+A+Woman+Judge's+Seasonof+Disillusion,1
"2016_Cranston,Bryan_ALifeinParts_ME.txt",NON,English,MEM,,2016,Cranston,Bryan,Bryan,Cranston,ALifeinParts,,,,,M,,102755,62,0.0948356808,12.67641253,4.077718609,3.240975074,3923,-2.2248,0.18518,-2.41,-2.8576,4.19,16140,https://www.goodreads.com/search?q=+A+Lifein+Parts,1
"2016_Croft,Kathryn_WhileYouWereSleeping_MY.txt",FIC,English,MY,,2016,Croft,Kathryn,Kathryn,Croft,WhileYouWereSleeping,,,,,F,,119470,23,0.1957259159,13.42359551,3.756905067,2.984648864,5276,-2.5774,0.16492,-2.7423,-3.2285,3.83,10638,https://www.goodreads.com/search?q=Kathryn+Croft+While+You+Were+Sleeping,1
"2016_Cronin,Justin_TheCityofMirrors_SF.txt",FIC,English,SF,,2016,Cronin,Justin,Justin,Cronin,TheCityofMirrors,,Doubleday,,,M,,299192,89,0.1158603413,12.82269747,4.168846122,3.260120095,16700,-2.1987,0.28171,-2.4804,-3.2451,4.2,50425,https://www.goodreads.com/search?q=+The+Cityof+Mirrors,1
"2016_Crouch,Blake_DarkMatter_BS.txt",FIC,English,BS,NYT,2016,Crouch,Blake,Blake,Crouch,DarkMatter,,,,,M,,111327,17,0.2900696864,12.5566208,4.055046875,3.103990902,6263,-2.2475,0.2573,-2.5048,-3.0019,4.12,338832,https://www.goodreads.com/search?q=Blake+Crouch+Dark+Matter,1
"2016_Cussler,Clive_OdessaSea_BS.txt",FIC,English,BS,,2016,Cussler,Clive,Clive,Cussler,OdessaSea,,Putnam,,,M,,129592,60,0.3011593421,14.25184208,4.44036018,3.693367704,10146,-2.1292,0.23863,-2.3679,-2.8842,4.01,6803,https://www.goodreads.com/search?q=Clive+Cussler+Odessa+Sea,0
"2016_Dallek,Matthew_DefenselessUndertheNight_HIST.txt",NON,English,HIST,,2016,Dallek,Matthew,Matthew,Dallek,DefenselessUndertheNight:TheRooseveltYearsandtheOriginsofHomelandSecurity,,OxfordUniversityPress,,,M,,129857,53,0.1622559653,31.0960249,4.900603402,5.556565255,2010,-2.3413,0.168,-2.5093,-3.0194,3.8,20,https://www.goodreads.com/search?q=+Defenseless+Underthe+Night:+The+Roosevelt+Yearsandthe+Originsof+Homeland+Security,0
"2016_Danler,Stephanie_Sweetbitter_BS.txt",FIC,English,BS,NYT,2016,Danler,Stephanie,Stephanie,Danler,Sweetbitter,,Knopf,,,F,,122063,35,0.1925972396,12.43383926,4.048501114,3.081397538,6806,-2.2877,0.27177,-2.5595,-3.0627,3.31,63409,https://www.goodreads.com/search?q=Stephanie+Danler+Sweetbitter,1
2016_DavidsonLiz_WhatYourFinancialAdvisorIsntTellingYou.txt,NON,English,MIX,,2016,Davidson,Liz,Liz,Davidson,WhatYourFinancialAdvisorIsntTellingYou,,,,,F,,81580,19,0.0805687204,27.29340917,4.5537224,4.965150574,224,-2.1622,0.13767,-2.2998,-2.7593,3.69,222,https://www.goodreads.com/search?q=Liz+Davidson+What+Your+Financial+Advisor+Isnt+Telling+You,1
"2016_Davies,PeterHo_TheFortunes_CT.txt",FIC,English,NYT,,2016,Davies,PeterHo,PeterHo,Davies,TheFortunes,,HoutonMifflinHarcourt,,,M,,116994,60,0.1935483871,17.25575221,4.221339527,3.742982873,5785,-2.2692,0.14524,-2.4144,-2.9361,3.78,34896,https://www.goodreads.com/search?q=+The+Fortunes,0
"2016_Deaver,Jeffery_TheSteelKiss_MY.txt",FIC,English,MY,,2016,Deaver,Jeffery,Jeffery,Deaver,TheSteelKiss,,,,,M,,175092,88,0.1800567108,11.25269923,4.271351869,3.114082665,7802,-2.1861,0.29133,-2.4774,-3.0383,4.04,12846,https://www.goodreads.com/search?q=Jeffery+Deaver+The+Steel+Kiss,0.97
"2016_Delaney,Douglas_CapturingHill70_HIST.txt",NON,English,HIST,,2016,"Delaney,etal",Douglas,Douglas,"Delaney,etal",CapturingHill70:Canada'sForgottenBattleoftheFirstWorldWar,,UBCPress,,,M,,131140,63,0.2070930969,24.86537732,4.829885512,4.724485027,1260,-1.772,0.44006,-2.212,-2.7877,4.25,20,https://www.goodreads.com/search?q=+Capturing+Hill70:+Canada's+Forgotten+Battleofthe+First+World+War,0
"2016_DeLillo,Don_ZeroK_CT.txt",FIC,English,NYT,,2016,DeLillo,Don,Don,DeLillo,ZeroK,,Simon&Schuster,,,M,,78975,10,0.3362318841,15.07444169,4.257365998,3.666764562,3187,-2.2243,0.24762,-2.4719,-2.93,3.2,10543,https://www.goodreads.com/search?q=Don+DeLillo+Zero+K,1
"2016_Dellaire,Romeo_WaitingfortheFirstLight_ME.txt",NON,English,MEM,,2016,Dallaire,Romeo,Romeo,Dallaire,WaitingfortheFirstLight,,,,,M,,65042,12,0.1555555556,22.36657497,4.388742813,4.470479468,1613,-2.2374,0.22945,-2.4669,-2.8845,4.37,760,https://www.goodreads.com/search?q=+Waitingforthe+First+Light,1
"2016_DeLonge,Tom_ChasingShadows_SF.txt",FIC,English,SF,,2016,"DeLonge,Hartley","Tom,AJ","Tom,AJ","DeLonge,Hartley",ChasingShadows,,ToTheStars������__������,,,M,,188798,83,0.1404631322,15.90547599,4.272425931,3.649919994,11276,-2.1905,0.29089,-2.4813,-3.0706,3.96,10218,https://www.goodreads.com/search?q=+Chasing+Shadows,1
"2016_Dermansky,Marcy_TheRedCar_CT.txt",FIC,English,NYT,,2016,Dermansky,Marcy,Marcy,Dermansky,TheRedCar,,Liveright,,,F,,62776,12,0.3284433578,10.77144818,3.868951534,2.777475122,3534,-2.4065,0.13837,-2.5449,-2.9321,3.38,2498,https://www.goodreads.com/search?q=Marcy+Dermansky+The+Red+Car,1
"2016_DiCamillo,Kate_RaymieNightingale_MG.txt",FIC,English,MID,,2016,DiCamillo,Kate,Kate,DiCamillo,RaymieNightingale,,,,,F,,45472,24,0.3301526718,11.26102031,4.209905398,3.000237849,3218,-2.3358,0.11247,-2.4483,-2.8123,3.94,19123,https://www.goodreads.com/search?q=Kate+DiCamillo+Raymie+Nightingale,0
"2016_DiSclafani,Anton_TheAfterParty_CT.txt",FIC,English,NYT,,2016,DiSclafani,Anton,Anton,DiSclafani,TheAfterParty,,PenguinGroupUSA,,,F,,126010,49,0.3584082856,13.40531915,3.970058897,3.137887821,6746,-2.3699,0.17368,-2.5436,-3.0625,3.3,8795,https://www.goodreads.com/search?q=Anton+DiSclafani+The+After+Party,1
"2016_Dolamore,Jaclyn_TheSorcerersConcubine_MY.txt",FIC,English,MY,,2016,Dolamore,Jaclyn,Jaclyn,Dolamore,TheSorcerer'sConcubine,,,,,F,,79297,23,0.3073089701,13.81480836,4.081389836,3.307744544,3864,-2.2838,0.2247,-2.5085,-2.9469,3.53,871,https://www.goodreads.com/search?q=Jaclyn+Dolamore+The+Sorcerer's+Concubine,0
"2016_Domet,Sarah_TheGuineveres_CT.txt",FIC,English,NYT,,2016,Domet,Sarah,Sarah,Domet,TheGuineveres,,FlatironBooks,,,F,,148115,50,0.1498549791,15.945204,4.143463292,3.552454808,7972,-2.2777,0.24656,-2.5243,-3.0432,3.3,3325,https://www.goodreads.com/search?q=Sarah+Domet+The+Guineveres,1
"2016_Donlon,Denise_FearlessasPossible_ME.txt",NON,English,MEM,,2016,Donlon,Denise,Denise,Donlon,FearlessasPossible,,,,,F,,228884,198,0.0396999062,20.35972247,4.438361341,4.26621132,5320,-2.2799,0.1489,-2.4288,-3.0306,4.12,52,https://www.goodreads.com/search?q=+Fearlessas+Possible,1
"2016_Donoghue,Emma_TheWonder_PW.txt",FIC,English,PW,NYT,2016,Donoghue,Emma,Emma,Donoghue,TheWonder,,HarperCollins,ScotiabankGillerPrize,Shortlist,F,CanadaIreland,105134,35,0.4126174497,13.53075933,4.205948445,3.288192281,5570,-2.4951,0.17995,-2.675,-3.1165,3.62,73787,https://www.goodreads.com/search?q=Emma+Donoghue+The+Wonder,0
"2016_Dorfman,Andi_ItsNotOkayTurningHeartbreakintoHappilyNeverAfter_ME.txt",NON,English,MEM,,2016,Dorfman,Andi,Andi,Dorfman,It'sNotOkay:TurningHeartbreakintoHappilyNeverAfter,,,,,F,,106908,12,0.2244897959,19.06688068,4.007789753,3.767256649,2965,-2.3003,0.19841,-2.4987,-2.9726,3,9635,https://www.goodreads.com/search?q=+It's+Not+Okay:+Turning+Heartbreakinto+Happily+Never+After,1
"2016_Doughty,Louise_BlackWater_CT.txt",FIC,English,NYT,,2016,Doughty,Louise,Louise,Doughty,BlackWater,,"Farrar,Straus,andGiroux",,,F,,122217,34,0.3191176471,19.83398247,4.166418452,3.978136082,6342,-2.3459,0.17736,-2.5233,-3.0222,3.39,1485,https://www.goodreads.com/search?q=Louise+Doughty+Black+Water,0
"2016_Dryer,David_TheMidnightWatchOfTheTitanicAndTheCalifornian_CT.txt",FIC,English,NYT,,2016,Dyer,David,David,Dyer,TheMidnightWatchoftheTitanicandtheCalifornian,,MacmillanCA,,,M,,110625,61,0.1622198506,16.44247919,4.20588299,3.645320739,6564,-2.296,0.2051,-2.5011,-2.9707,3.81,3877,https://www.goodreads.com/search?q=+The+Midnight+Watchofthe+Titanicandthe+Californian,1
"2016_DuBois,ThomasDavid_EmpireandtheMeaningofReligioninNortheastAsia_HIST.txt",NON,English,HIST,,2016,DuBois,ThomasDavid,ThomasDavid,DuBois,EmpireandtheMeaningofReligioninNortheastAsia:Manchuria1900-1945,,CambridgeUniveristyPress,,,M,,102923,65,0.074906367,30.85221823,5.156710357,5.723282959,528,-1.9187,0.27099,-2.1897,-2.7069,0,0,https://www.goodreads.com/search?q=+Empireandthe+Meaningof+Religionin+Northeast+Asia:+Manchuria1900-1945,0
"2016_Duchovny,David_BuckyF*ckingDent_CT.txt",FIC,English,NYT,,2016,Duchovny,David,David,Duchovny,BuckyF*ckingDent,,"Farrar,Straus,andGiroux",,,M,,86613,39,0.4503816794,12.75408629,4.097150389,3.195748694,3525,-2.2494,0.17741,-2.4268,-2.8572,3.84,2775,https://www.goodreads.com/search?q=David+Duchovny+Bucky+F*cking+Dent,0
"2016_Dugoni,Robert_IntheClearing_MY.txt",FIC,English,MY,,2016,Dugoni,Robert,Robert,Dugoni,IntheClearing,,,,,M,,122409,61,0.2111187687,14.11542897,4.236811278,3.448287649,6407,-2.1752,0.22398,-2.3992,-2.8949,4.26,48043,https://www.goodreads.com/search?q=+Inthe+Clearing,0
"2016_Dunmore,Helen_Exposure_CT.txt",FIC,English,NYT,,2016,Dunmore,Helen,Helen,Dunmore,Exposure,,AtlanticMontlyPress,,,F,,119321,48,0.23349956,12.64663487,4.032480066,3.134162272,4425,-2.2783,0.20062,-2.4789,-3.0054,3.91,5317,https://www.goodreads.com/search?q=Helen+Dunmore+Exposure,0
"2016_Dunnett,Gregg_TheWaveatHangingRock_MY.txt",FIC,English,MY,,2016,Dunnett,Gregg,Gregg,Dunnett,TheWaveatHangingRock,,,,,M,,121164,22,0.2485497546,13.7921457,3.959489467,3.239093606,6666,-2.2732,0.21177,-2.4849,-3.0072,3.84,4369,https://www.goodreads.com/search?q=+The+Waveat+Hanging+Rock,1
"2016_Durano,Liz_EverythingSheEverWanted_ROM.txt",FIC,English,ROM,,2016,Durano,Liz,Liz,Durano,EverythingSheEverWanted,,VelvetMadrid,,,F,,102995,42,0.2051419389,17.34506568,3.886050432,3.463367563,4115,-2.3563,0.22515,-2.5814,-3.0358,3.96,1109,https://www.goodreads.com/search?q=Liz+Durano+Everything+She+Ever+Wanted,1
"2016_Eager,Lindsay_HouroftheBees_MG.txt",FIC,English,MID,,2016,Eager,Lindsay,Lindsay,Eager,HouroftheBees,,,,,F,,84390,26,0.2039028276,12.08333333,3.978043524,2.93166463,4686,-2.1971,0.27159,-2.4687,-2.8789,4.19,5736,https://www.goodreads.com/search?q=+Hourofthe+Bees,1
"2016_Eisen,Max_ByChanceAlone_ME.txt",NON,English,MEM,,2016,Eisen,Max,Max,Eisen,ByChanceAlone,,,,,M,,70677,20,0.1255060729,20.89798936,4.288962427,4.279771259,3058,-2.2964,0.13032,-2.4267,-2.8154,4.56,4198,https://www.goodreads.com/search?q=Max+Eisen+By+Chance+Alone,1
"2016_Eliott,Kendra_KnownABoneSecretsNovel_ROM.txt",FIC,English,ROM,,2016,Eliott,Kendra,Kendra,Eliott,Known(ABoneSecretsNovel),,MontlakeRomance,,,F,,110348,30,0.2515625,11.97742321,4.134338061,3.157024316,6984,-2.3083,0.18276,-2.4911,-2.9963,4.38,13766,https://www.goodreads.com/search?q=+Known(+A+Bone+Secrets+Novel),0
"2016_ElRashisi,Yasmine_ChronicleOfLastSummer_CT.txt",FIC,English,NYT,,2016,ElRashisi,Yasmine,Yasmine,ElRashisi,ChronicleofaLastSummer,,RandomHouseCa,,,F,,49963,18,0.3775055679,11.06600221,4.094114937,3.118077764,2868,-2.3619,0.084068,-2.4459,-2.8473,3.2,902,https://www.goodreads.com/search?q=+Chronicleofa+Last+Summer,1
"2016_Enrigue,Alvaro_SuddenDeath_CT.txt",FIC,English,NYT,,2016,Enrigue,Alvaro,Alvaro,Enrigue,SuddenDeath,,PenguinGroupUSA,,,M,,70741,50,0.0909090909,25.2106201,4.393339807,4.63791672,2728,-2.3003,0.19991,-2.5002,-2.9213,3.74,2600,https://www.goodreads.com/search?q=Alvaro+Enrigue+Sudden+Death,0
"2016_Ephron,Delia_Siracusa_CT.txt",FIC,English,NYT,,2016,Ephron,Delia,Delia,Ephron,Siracusa,,PenguinGroupUSA,,,F,,85878,32,0.2135316699,11.94575045,4.130828254,3.115601741,4163,-2.3483,0.18393,-2.5322,-2.949,3.39,11728,https://www.goodreads.com/search?q=Delia+Ephron+Siracusa,1
"2016_Erdrich,Louise_LaRose_CT.txt",FIC,English,NYT,,2016,Erdrich,Louise,Louise,Erdrich,LaRose,,HarperCollins,,,F,,143522,59,0.1177721088,12.28468715,4.260620193,3.288554124,8876,-2.235,0.19475,-2.4297,-2.951,4.19,985882,https://www.goodreads.com/search?q=+La+Rose,0.98
"2016_Eteraz,Ali_NativeBeliever_CT.txt",FIC,English,NYT,,2016,Eteraz,Ali,Ali,Eteraz,NativeBeliever,,AkashicBooks,,,M,,106519,40,0.2807505212,15.13483944,4.281778478,3.734539679,4708,-2.3447,0.17897,-2.5237,-2.996,3.36,153,https://www.goodreads.com/search?q=Ali+Eteraz+Native+Believer,1
"2016_Evanovich,Janet_TurboTwentyThree_BS.txt",FIC,English,BS,MY,2016,Evanovich,Janet,Janet,Evanovich,TurboTwentyThree,,Bantam,,,F,,86055,52,0.1974050046,11.59302169,3.914985841,2.900459458,4392,-2.3114,0.17304,-2.4844,-2.9349,3.85,46677,https://www.goodreads.com/search?q=Janet+Evanovich+Turbo+Twenty+Three,1
"2016_Evans,RichardPaul_TheMistletoeSecret_BS.txt",FIC,English,BS,,2016,Evans,RichardPaul,RichardPaul,Evans,TheMistletoeSecret,,Simon&Schuster,,,M,,69460,26,0.1943262411,11.19600258,3.952183817,2.850102185,3471,-2.2263,0.18384,-2.4102,-2.8366,3.9,6138,https://www.goodreads.com/search?q=+The+Mistletoe+Secret,1
"2016_Fagan,Jenni_TheSunlightPilgrims_CT.txt",FIC,English,NYT,,2016,Fagan,Jenni,Jenni,Fagan,TheSunlightPilgrims,,Hogarth,,,F,,93506,17,0.3148148148,15.42239815,4.043555206,3.492218429,3919,-2.3324,0.19348,-2.5259,-2.9699,3.59,2457,https://www.goodreads.com/search?q=Jenni+Fagan+The+Sunlight+Pilgrims,0
"2016_Fellowes,Julian_Belgravia_BS.txt",FIC,English,BS,NYT,2016,Fellowes,Julian,Julian,Fellowes,Belgravia,,GrandCentralPublishing,,,M,,165052,60,0.1164480323,14.61801435,4.182570844,3.517612214,7305,-2.432,0.18957,-2.6215,-3.1991,3.76,27357,https://www.goodreads.com/search?q=Julian+Fellowes+Belgravia,0
"2016_Fielding,Helen_BridgeJonessBabyTheDiaries_CT.txt",FIC,English,NYT,,2016,Fielding,Helen,Helen,Fielding,BridgetJones'sBaby:TheDiaries,,AlfredAKnopf,,,F,,45372,30,0.1998215879,12.48541552,4.160887223,3.057878677,2084,-2.36,0.12979,-2.4898,-2.8506,3.61,11764,https://www.goodreads.com/search?q=Helen+Fielding+Bridget+Jones's+Baby:+The+Diaries,1
"2016_Finn,Melanie_TheGloaming_CT.txt",FIC,English,NYT,,2016,Finn,Melanie,Melanie,Finn,TheGloaming,,TwoDollarRadio,,,F,,98301,50,0.145200486,11.55938382,4.082502552,3.036541402,5162,-2.3234,0.19209,-2.5155,-2.9485,3.82,1350,https://www.goodreads.com/search?q=Melanie+Finn+The+Gloaming,1
"2016_Fisher,Carrie_ThePrincessDiarist_ME.txt",NON,English,MEM,,2016,Fisher,Carrie,Carrie,Fisher,ThePrincessDiarist,,,,,F,,54369,20,0.3104395604,17.58945325,4.114418923,3.772268554,1023,-2.2817,0.19161,-2.4733,-2.8477,3.69,76857,https://www.goodreads.com/search?q=Carrie+Fisher+The+Princess+Diarist,1
"2016_Fishman,Boris_DontLetMyBabyDoRodeo_CT.txt",FIC,English,NYT,,2016,Fishman,Boris,Boris,Fishman,Don'tLetMyBabyDoRodeo,,HarperCollins,,,M,,134626,43,0.3096068853,14.58727923,4.223326449,3.504346691,7774,-2.211,0.28719,-2.4982,-3.0134,2.92,659,https://www.goodreads.com/search?q=Boris+Fishman+Don't+Let+My+Baby+Do+Rodeo,0
"2016_Flagg,Fannie_TheWholeTownsTalking_BS.txt",FIC,English,BS,,2016,Flagg,Fannie,Fannie,Flagg,TheWholeTown'sTalking,,RandomHouse,,,F,,115666,89,0.0869033048,15.97155482,4.062494139,3.446732476,4366,-2.2343,0.27883,-2.5131,-2.9951,3.65,19400,https://www.goodreads.com/search?q=Fannie+Flagg+The+Whole+Town's+Talking,0
2016_Flanery_Patrick_IAmNoOne_CT.txt,FIC,English,NYT,,2016,Flanery,Patrick,Patrick,Flanery,IAmNoOne,,RandomHouseCa,,,M,,128279,28,0.1452031115,27.92316064,4.256668394,4.665732995,3579,-2.3288,0.21958,-2.5484,-3.0675,2.86,1295,https://www.goodreads.com/search?q=Patrick+Flanery+I+Am+No+One,1
